File Name	GCMF File Name	Address	Attributes	Origin	Radius	Texturecount	Materialcount	Translucidmaterialcount	Transformmatrixcount	Zero_0x1F	Indicesrelptr	Zero_0x24	Transformmatrixdefaultindices	Texture	TransformMatrix	Material	
	bg_big_s,lz.gma	00039DA0	0	(3341.1, 363.6, -3722.6)	435.0765	2	1	0	0	0	128	0	X	X	X	X	
	bg_big_s,lz.gma	0003BE00	0	(3333.3, 363.5, -4536.0)	436.6223	2	1	0	0	0	128	0	X	X	X	X	
	bg_big_s,lz.gma	0003DE60	0	(0.0, 7.8, 0.0)	57.28567	8	5	1	0	0	320	0	X	X	X	X	
	bg_big_s,lz.gma	00044320	0	(420.7, 743.1, -2926.1)	5892.081	1	0	1	0	0	96	0	X	X	X	X	
	bg_big_s,lz.gma	00044CA0	0	(0.0, 311.3, 0.0)	541.0585	2	0	2	0	0	128	0	X	X	X	X	
	bg_big_s,lz.gma	00044FA0	0	(0.3, 28.4, -20.1)	219.2613	22	22	0	0	0	768	0	X	X	X	X	
	bg_big_s,lz.gma	000624C0	0	(39.1, 472.3, 0.6)	546.3548	34	20	3	0	0	1152	0	X	X	X	X	
	bg_big_s,lz.gma	00080E60	0	(0.0, -215.6, 0.0)	213.5891	10	10	0	0	0	384	0	X	X	X	X	
	bg_big_s,lz.gma	0008D7E0	0	(0.0, 2757.6, 0.0)	18234.15	3	1	2	0	0	160	0	X	X	X	X	
	bg_big_s,lz.gma	0008F500	0	(0.0, 574.4, 0.0)	601.5573	12	7	1	0	0	448	0	X	X	X	X	
	bg_big_s,lz.gma	000A40C0	0	(137.7, 554.7, -10.5)	740.1049	28	17	2	0	0	960	0	X	X	X	X	
	bg_big_s,lz.gma	000C6740	0	(0.0, 26.2, 0.0)	146.5463	4	3	0	0	0	192	0	X	X	X	X	
	bg_big_s,lz.gma	000CB360	0	(0.0, 20.9, 0.0)	53.76999	9	4	1	0	0	352	0	X	X	X	X	
